Key,Description,CN,EN
SAY.FungusFlow.214.Character Name,,这里有大量的灰尘和蛛网，我想我可以在一会儿来个大扫除。,"There's a massive amount of dust and cobwebs in the room, I could do some housecleaning later."
SAY.FungusFlow.144.Character Name,,箱子里的大衣可以放在衣架上。,My clothes can be placed on the coatrack.
SAY.FungusFlow.147.Character Name,,马丁喜欢写作，这里有张书桌毫不意外。,No surprise to see a desk here. Mr. O'Neill enjoyed reading as well as writing.
SAY.FungusFlow.150.Character Name,,一位美丽庄重的姑娘的画像，也许是马丁的家人？,"A portrait of a beautiful and solemn girl, she looks like Mr. O'Neill's sister."
SAY.FungusFlow.162.Character Name,,一幅日落的油画，我喜欢这温暖的色调。,"An oil painting, I like the warm colors used in the sunset."
SAY.FungusFlow.168.Character Name,,台灯灯罩上全是灰尘，不知道它是否还能在夜里照明。,"So much dust on the lamp, I wonder if it can still be illuminated at night."
SAY.FungusFlow.177.Character Name,,那就是丹尼所说的木杖吗？它是这屋内唯一一个没有沾上灰尘的物品。,Is that the staff Danny talked about a while ago? It's the only item in the house that is not dusty.
SAY.FungusFlow.184.Character Name,,床上落满了灰尘。,Dust is everywhere on the bed.
SAY.FungusFlow.187.Character Name,,一盆已经枯萎的花，应该很久没有人浇水了。,"A pot of plant that has withered, it hasn't been watered for a long time."
SAY.FungusFlow.196.,,,
SAY.FungusFlow.199.Character Name,,,
SAY.FungusFlow.206.Character Name,,现在我不需要一直拿着行李箱了。,Now I can place my suitcase at this house.
SAY.FungusFlow.221.Character Name,,现在我拿到了木杖，或许我应该问一下丹尼它该怎么使用。,"Now that I got the staff, maybe I should ask Danny how to use this thing."
CHARACTER.Character Name,,Character Name,
